uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
96,VANNER 태환,4,VANNER 태환 | 배너 태환 | 태환 VANNER | 태환 배너,2,2025-W02,2025-W02
97,VANNER 혜성,4,VANNER 혜성 | 배너 혜성 | 혜성 VANNER | 혜성 배너,1,2024-W06,2024-W07
98,WayV 샤오쥔,4,WayV 샤오쥔 | 샤오쥔 WayV | 샤오쥔 웨이션브이 | 웨이션브이 샤오쥔,1,2025-W33,2025-W39
99,WayV 양양,4,WayV 양양 | 양양 WayV | 양양 웨이션브이 | 웨이션브이 양양,1,2025-W33,2025-W39
100,WayV 헨드리,4,WayV 헨드리 | 웨이션브이 헨드리 | 헨드리 WayV | 헨드리 웨이션브이,1,2025-W33,2025-W39
101,갓세븐 뱀뱀,4,GOT7 뱀뱀 | 갓세븐 뱀뱀 | 뱀뱀 GOT7 | 뱀뱀 갓세븐,1,2024-W30,2024-W34
102,갓세븐 영재,4,GOT8 영재 | 갓세븐 영재 | 영재 GOT8 | 영재 갓세븐,1,2024-W26,2024-W28
103,강다니엘,1,강다니엘,1,2024-W38,2024-W42
103,강다니엘,1,강다니엘,2,2024-W49,2024-W52
103,강다니엘,1,강다니엘,3,2025-W24,2025-W28
103,강다니엘,1,강다니엘,4,2025-W49,2025-W52
104,강수진,1,강수진,1,2025-W30,2025-W33
104,강수진,1,강수진,2,2025-W39,2025-W43
104,강수진,1,강수진,3,2025-W48,2025-W52
105,강승식,1,강승식,1,2025-W45,2025-W48
106,강유석,1,강유석,1,2025-W27,2025-W31
107,강훈,1,강훈,1,2024-W19,2024-W22
107,강훈,1,강훈,2,2024-W38,2024-W41
108,고규필,1,고규필,1,2025-W45,2025-W48
109,고스트나인 손준형,4,GHOST9 손준형 | 고스트나인 손준형 | 손준형 GHOST9 | 손준형 고스트나인,1,2025-W06,2025-W08
110,고스트나인 이강성,4,GHOST9 이강성 | 고스트나인 이강성 | 이강성 GHOST9 | 이강성 고스트나인,1,2025-W06,2025-W08
